location,recordingDate,method,taskLength,transcriber,species,speciesIndividualNumber,vocalization,abundance,startTime,tagLength,minFreq,maxFreq,internal_tag_id
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,WTSP,1,Song,1,3.04,4.21,2801.56,6303.5,2263892
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,AMCR,1,Call,1,0.33,1.83,466.93,2848.25,2263894
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,CHSP,1,Song,1,17.55,2.09,3128.4,7284.05,2263899
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,BHCO,1,Call,1,26.76,1.29,3828.79,8731.52,2263919
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,WTSP,2,Song,1,30.83,2.46,3875.49,6490.27,2263933
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,FOSP,1,Song,1,21.45,2.4,1867.7,6443.58,2263914
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,NOFL,1,Call,1,34.68,3.07,1214.01,4155.64,2263924
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,SOSP,1,Song,1,33.1,2.16,1867.7,7377.43,2263928
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,GCKI,1,Song,1,12.63,3.1,6210.12,10412.45,2263960
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,BCCH,1,Song,1,16.73,1.62,1587.55,6070.04,2264018
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,WTSP,3,Song,1,13.41,2.99,3875.49,5929.96,2264027
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,HAWO,1,Non-vocal,1,134.48,1.42,233.46,4062.26,2264197
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,AMRO,1,Song,1,96.8,1.75,1073.93,4575.88,2264190
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,SPPE,1,Song,CI 1,155.26,6.72,1727.63,4435.8,2264218
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,SPPE,1,Song,CI 1,6.38,4.52,1027.24,4295.72,2264023
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,UNPA,1,Song,1,7.86,1.84,3595.33,7891.05,2264025
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,UNBL,1,Call,1,30.18,0.75,2614.79,10552.53,2264035
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,UNBL,2,Call,1,31.78,0.78,3035.02,10412.45,2264063
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,YRWA,1,Song,1,50.89,1.41,2708.17,6770.43,2264044
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,AMCR,2,Call,1,19.99,2.17,373.54,3081.71,2264052
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,BCCH,2,Song,1,88.46,2.29,2147.86,5836.58,2264077
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,NOFL,2,Call,1,124.44,2.82,747.08,4949.42,2264193
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,PAWA,1,Song,1,41.53,1.38,2779.31,7261.8,2264071
PENP-1-2, 2021-05-15 02:40:00,1SPM,180,Steve Enid,LIBA,1,Non-vocal,1,52.5,3.3,140.08,3408.56,2264073
PENP-1-4, 2021-06-17 02:20:00,1SPM,180,Steve Enid,GCKI,1,Song,1,9.36,3.44,5976.65,9338.52,2266212
PENP-1-4, 2021-06-17 02:20:00,1SPM,180,Steve Enid,AMCR,1,Call,1,12.08,2.58,186.77,2428.02,2266213
PENP-1-4, 2021-06-17 02:20:00,1SPM,180,Steve Enid,UNBL,1,Call,1,57.31,1.08,1540.86,8451.36,2266223
PENP-1-4, 2021-06-17 02:20:00,1SPM,180,Steve Enid,AMCR,2,Call,1,60.81,2.53,326.85,2287.94,2266224
PENP-1-4, 2021-06-17 02:20:00,1SPM,180,Steve Enid,BTNW,1,Song,1,80.58,1.9,2568.09,7097.28,2266226
PENP-1-4, 2021-06-17 02:20:00,1SPM,180,Steve Enid,AMCR,3,Call,1,126.84,2.76,140.08,2381.32,2266229
PENP-1-4, 2021-06-17 02:20:00,1SPM,180,Steve Enid,RESQ,1,Call,1,2.61,2.14,4295.72,9058.37,2266210
PENP-1-4, 2021-06-17 02:20:00,1SPM,180,Steve Enid,OSFL,1,Song,1,82.75,1.5,1680.93,7610.89,2266227
PENP-1-4, 2021-06-17 02:20:00,1SPM,180,Steve Enid,REVI,1,Song,1,0.98,2.38,1307.39,6163.42,2266214
PENP-1-4, 2021-06-17 02:20:00,1SPM,180,Steve Enid,MAWA,1,Song,1,5.35,1.56,3128.4,7797.67,2266215
PENP-1-4, 2021-06-17 02:20:00,1SPM,180,Steve Enid,REVI,2,Song,1,7.25,2.44,1400.78,5696.5,2266218
PENP-1-4, 2021-06-17 02:20:00,1SPM,180,Steve Enid,AMRO,1,Song,1,22.56,2.19,793.77,4155.64,2266219
PENP-1-4, 2021-06-17 02:20:00,1SPM,180,Steve Enid,YRWA,1,Song,1,10.53,1.86,2848.25,5929.96,2266216
ASC-1, 2021-06-22 03:20:00,1SPM,180,Steve Enid,YRWA,1,Song,1,120.24,1.36,1867.7,6910.51,2314762
ASC-1, 2021-06-22 03:20:00,1SPM,180,Steve Enid,BHVI,1,Song,1,0.03,2.22,1540.86,6443.58,2314750
ASC-1, 2021-06-22 03:20:00,1SPM,180,Steve Enid,MAWA,1,Song,1,1.39,1.66,2988.33,8451.36,2314751
ASC-1, 2021-06-22 03:20:00,1SPM,180,Steve Enid,WTSP,1,Song,1,2.58,2.8,2194.55,5836.58,2314752
ASC-1, 2021-06-22 03:20:00,1SPM,180,Steve Enid,BHVI,2,Song,1,14.4,1.51,1961.09,7097.28,2314755
ASC-1, 2021-06-22 03:20:00,1SPM,180,Steve Enid,BAWW,1,Song,1,21.33,2.35,5322.96,8498.05,2314756
ASC-1, 2021-06-22 03:20:00,1SPM,180,Steve Enid,GCKI,1,Song,1,26.98,2.16,6350.19,9665.37,2314757
ASC-1, 2021-06-22 03:20:00,1SPM,180,Steve Enid,UNBL,1,Call,1,49.15,2.61,4902.72,11439.69,2314758
ASC-1, 2021-06-22 03:20:00,1SPM,180,Steve Enid,MAWA,2,Song,1,73.86,1.72,3128.4,9385.21,2314759
ASC-1, 2021-06-22 03:20:00,1SPM,180,Steve Enid,MOWI,1,Non-vocal,1,108.89,5.86,6303.5,11393,2314761
ASC-1, 2021-06-22 03:20:00,1SPM,180,Steve Enid,HETH,1,Song,1,8.75,1.54,1494.16,5789.88,2314753
PENP-1-1, 2021-06-09 02:21:00,1SPM,180,Steve Enid,CANG,1,Call,1,9.16,2.75,373.54,2521.4,2268872
PENP-1-1, 2021-06-09 02:21:00,1SPM,180,Steve Enid,CANG,2,Call,1,144.45,2.74,466.93,3035.02,2268886
PENP-1-1, 2021-06-09 02:21:00,1SPM,180,Steve Enid,SOSP,1,Song,1,128.09,1.92,1587.55,8591.44,2268884
PENP-1-1, 2021-06-09 02:21:00,1SPM,180,Steve Enid,ALFL,1,Song,1,8.24,0.99,1167.32,7237.35,2268871
PENP-1-1, 2021-06-09 02:21:00,1SPM,180,Steve Enid,AMRE,4,Song,1,4.74,1.12,3035.02,9712.06,2268873
PENP-1-1, 2021-06-09 02:21:00,1SPM,180,Steve Enid,EAWP,1,Song,1,14.68,1.38,2147.86,5743.19,2268874
PENP-1-1, 2021-06-09 02:21:00,1SPM,180,Steve Enid,YBSA,1,Call,1,23.26,1.23,607,11206.23,2268875
PENP-1-1, 2021-06-09 02:21:00,1SPM,180,Steve Enid,REVI,2,Song,1,43.35,3.4,1167.32,4482.49,2268876
PENP-1-1, 2021-06-09 02:21:00,1SPM,180,Steve Enid,NOPA,1,Song,1,48.13,2.22,4342.41,10038.91,2268877
PENP-1-1, 2021-06-09 02:21:00,1SPM,180,Steve Enid,AMRE,5,Song,1,95.48,1.7,3782.1,9852.14,2268881
PENP-1-1, 2021-06-09 02:21:00,1SPM,180,Steve Enid,AMRE,1,Song,1,0.93,1.51,2054.47,9618.68,2268866
PENP-1-1, 2021-06-09 02:21:00,1SPM,180,Steve Enid,AMRE,2,Song,1,2.36,1.32,1821.01,9665.37,2268868
PENP-1-1, 2021-06-09 02:21:00,1SPM,180,Steve Enid,AMRE,3,Song,1,3.74,1.29,1961.09,8918.29,2268869
PENP-1-1, 2021-06-09 02:21:00,1SPM,180,Steve Enid,REVI,1,Song,1,0.04,3.95,840.47,4949.42,2268870
PENP-1-6, 2021-07-13 01:34:00,1SPM,180,Steve Enid,AMRO,1,Song,1,2.95,3.44,1260.7,4809.34,2269186
PENP-1-6, 2021-07-13 01:34:00,1SPM,180,Steve Enid,AMRO,2,Song,1,30.2,2.83,887.16,4622.57,2269200
PENP-1-6, 2021-07-13 01:34:00,1SPM,180,Steve Enid,LIBA,1,Non-vocal,1,0.23,9.25,466.93,2988.33,2269190
PENP-1-6, 2021-07-13 01:34:00,1SPM,180,Steve Enid,LIRA,1,Non-vocal,1,10.14,4.46,3735.41,10505.84,2269193
PENP-1-1, 2021-06-07 01:22:00,1SPM,180,Steve Enid,YEWA,3,Song,1,66.38,1.55,2474.71,7657.59,2266161
PENP-1-1, 2021-06-07 01:22:00,1SPM,180,Steve Enid,MOTF,1,Non-vocal,1,87.74,7.6,186.77,2801.56,2266163
PENP-1-1, 2021-06-07 01:22:00,1SPM,180,Steve Enid,CANG,1,Call,1,17.09,2.34,280.16,2754.86,2266148
PENP-1-1, 2021-06-07 01:22:00,1SPM,180,Steve Enid,ALFL,1,Song,1,0.88,0.9,1680.93,6677.04,2266134
