location,recording_date_time,task_method,recording_sample_frequency,task_duration,task_is_complete,observer,task_comments,internal_task_id
PENP-BS-1-1,2024-08-17 05:15:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-17 05:35:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-17 05:55:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-17 06:15:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-17 06:35:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-17 06:55:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-18 05:16:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-18 05:36:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-18 05:56:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-18 06:16:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-18 06:36:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-18 06:56:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-19 05:18:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-19 05:38:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-19 05:58:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-19 06:18:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-19 06:38:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-19 06:58:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-20 05:19:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-20 05:39:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-20 05:59:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-20 06:19:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-20 06:39:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-20 06:59:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-21 05:20:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-21 05:40:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-21 06:00:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-21 06:20:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-21 06:40:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-21 07:00:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-22 05:21:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-22 05:41:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-22 06:01:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-22 06:21:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-22 06:41:00,1SPT,44100,900,FALSE,,,
PENP-BS-1-1,2024-08-22 07:01:00,1SPT,44100,900,FALSE,,,
