organization,location,longitude,latitude,recordingDate,length(s),landFeatures,locationVisitImages
PC,PENP-BS-6,-62.707731,46.44671,2023-07-30 18:45,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-30 8:29,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-30 8:09,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-30 7:49,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-30 7:29,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-30 7:09,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-30 6:49,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-30 6:29,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-30 6:09,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-30 5:49,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-30 5:29,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-30 5:09,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-30 4:49,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-30 4:29,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 22:26,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 22:06,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 21:46,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 21:26,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 21:06,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 20:46,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 20:26,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 20:06,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 19:46,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 19:26,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 19:06,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 18:46,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 8:28,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 8:08,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 7:48,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 7:28,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 7:08,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 6:48,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 6:28,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 6:08,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 5:48,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 5:28,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 5:08,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 4:48,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-29 4:28,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 22:27,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 22:07,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 21:47,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 21:27,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 21:07,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 20:47,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 20:27,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 20:07,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 19:47,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 19:27,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 19:07,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 18:47,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 8:27,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 8:07,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 7:47,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 7:27,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 7:07,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 6:47,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 6:27,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 6:07,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 5:47,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 5:27,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 5:07,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 4:47,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-28 4:27,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-27 22:28,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-27 22:08,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-27 21:48,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-27 21:28,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-27 21:08,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-27 20:48,900,,
PC,PENP-BS-6,-62.707731,46.44671,2023-07-27 20:28,900,,
