location,recordingDate,method,taskLength,status,transcriber,rain,wind,industryNoise,otherNoise,audioQuality,taskComments,internal_task_id
PENP-BS-3, 2021-05-07 20:46:03,None,180,Transcribed,Kayley Burke,,,,,,,302886
PENP-BS-5, 2021-08-07 20:19:00,None,180,Transcribed,Kayley Burke,,,,,,,302902
PENP-BS-1, 2021-08-12 20:56:03,None,180,Transcribed,Kayley Burke,,,,,,,302908
PENP-BS-1, 2021-08-03 20:55:02,None,180,Transcribed,Kayley Burke,,,,,,,302899
PENP-BS-5, 2021-08-14 20:23:02,None,180,Transcribed,Kayley Burke,,,,,,,302910
PENP-BS-2, 2021-05-10 19:43:00,None,180,Transcribed,Kayley Burke,,,,,,,302893
PENP-BS-4, 2021-08-13 20:55:03,None,180,Transcribed,Kayley Burke,,,,,,,302909
PENP-BS-2, 2021-05-09 19:22:00,None,180,Transcribed,Kayley Burke,,,,,,,302889
PENP-BS-3, 2021-05-10 21:34:05,None,180,Transcribed,Kayley Burke,,,,,,,302894
PENP-BS-3, 2021-05-10 22:54:05,None,180,Transcribed,Kayley Burke,,,,,,,302896
PENP-BS-1, 2021-08-07 20:34:02,None,180,Transcribed,Kayley Burke,,,,,,,302903
PENP-BS-5, 2021-08-12 20:11:00,None,180,Transcribed,Kayley Burke,,,,,,,302907
PENP-BS-4, 2021-08-10 20:59:02,None,180,Transcribed,Kayley Burke,,,,,,,302905
PENP-BS-3, 2021-05-09 21:38:04,None,180,Transcribed,Kayley Burke,,,,,,,302890
PENP-BS-1, 2021-08-14 20:53:02,None,180,Transcribed,Kayley Burke,,,,,,,302911
PENP-BS-1, 2021-05-10 19:17:38,None,180,Transcribed,Kayley Burke,,,,,,,302891
PENP-BS-3, 2021-05-08 19:17:03,None,180,Transcribed,Kayley Burke,,,,,,,302888
PENP-BS-4, 2021-08-03 20:40:02,None,180,Transcribed,Kayley Burke,,,,,,,302897
PENP-BS-2, 2021-05-04 18:26:02,None,180,Transcribed,Kayley Burke,,,,,,,302884
