location,latitude,longitude
PENP-1-1,46.49269,-63.39246
PENP-1-2,46.49815,-63.41232
PENP-1-3,46.48599,-63.37838
PENP-2-3,46.43868,-63.24929
PENP-3-1,46.40964,-63.08163
PENP-3-2,46.41328,-63.09174
PENP-3-4,46.41564,-63.08571
PENP-4-1,46.44528,-62.70647
PENP-4-2,46.44844,-62.68512
PENP-4-3,46.45103,-62.65111
PENP-4-4,46.44566,-62.69656
PENP-1-4,46.49484,-63.42045
PENP-3-5,46.41848,-63.08935
PENP-3-6,46.40692,-63.07812
ASC-1,46.37947,-62.91344
LXI-1,46.6279,-63.8658
PENP-1-5,46.48044,-63.38517
PENP-1-6,46.48473,-63.3812
PENP-3-7,46.41705,-63.09916
PENP-3-8,46.42033,-63.09989
PENP-4-6,46.45084,-62.67106
PENP-5-1,46.19565,-63.1341
PENP-BS-1,46.49694,-63.40521
PENP-BS-2,46.42506,-63.12705
PENP-BS-3,46.49545,-63.34026
PENP-BS-4,46.46487,-63.30242
PENP-BS-5,46.41685,-62.9698
PENP-4-5,46.45242,-62.67462
PENP-E1,46.19434,-63.13055
PENP-BS-6,46.44671,-62.70773
PENP-4-6,46.45084,-62.67106
